Symbol,Name Company,cafef_exchange,vietstock_exchange,nganh
CJC,CÔNG TY CỔ PHẦN CƠ ĐIỆN MIỀN TRUNG,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT ĐỘNG CƠ, TUA BIN VÀ THIẾT BỊ TRUYỀN TẢI ĐIỆN"
CJV,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VIỆT NHẬT,,,0
CK8,CÔNG TY CỔ PHẦN CƠ KHÍ 120,UPCOM,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT THIẾT BỊ, MÁY MÓC"
CKA,CÔNG TY CỔ PHẦN CƠ KHÍ AN GIANG,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KIM LOẠI TỔNG HỢP/ SẢN XUẤT SẢN PHẨM KIM LOẠI TỔNG HỢP KHÁC
CKD,CÔNG TY CỔ PHẦN CƠ KHÍ ĐÔNG ANH LICOGI,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KIM LOẠI TỔNG HỢP/ SẢN XUẤT KIẾN TRÚC VÀ KẾT CẤU KIM LOẠI
CKG,CÔNG TY CỔ PHẦN TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
CKH,CÔNG TY CỔ PHẦN CƠ KHÍ CHẾ TẠO HẢI PHÒNG,UPCOM,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT THIẾT BỊ, MÁY MÓC CÔNG NGHIỆP"
CKI,CTCP CƠ KHÍ NGÀNH IN,,OTC,NGÀNH: DỊCH VỤ KHÁC (NGOẠI TRỪ HÀNH CHÍNH CÔNG)/ SỬA CHỮA VÀ BẢO TRÌ/ SỬA CHỮA VÀ BẢO TRÌ
CKM,CÔNG TY CỔ PHẦN CƠ KHÍ MỎ VIỆT BẮC - VVMI,,,0
CKV,CÔNG TY CỔ PHẦN COKYVINA,HNX,HNX,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN MÁY MÓC, THIẾT BỊ VÀ VẬT TƯ"
CLC,CÔNG TY CP CÁT LỢI,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT ĐỒ UỐNG VÀ THUỐC LÁ/ SẢN XUẤT THUỐC LÁ
CLG,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN NHÀ ĐẤT COTEC,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
CLH,CÔNG TY CỔ PHẦN XI MĂNG LA HIÊN VVMI,HNX,HNX,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT XI MĂNG VÀ CÁC SẢN PHẨM BÊ TÔNG
CLL,CÔNG TY CỔ PHẦN CẢNG CÁT LÁI,HSX,HOSE,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG THỦY
CLM,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THAN - VINACOMIN,HNX,HNX,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN KIM LOẠI VÀ KHOÁNG SẢN (TRỪ DẦU KHÍ)
CLP,CÔNG TY CỔ PHẦN THỦY SẢN CỬU LONG,HSX,OTC,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
CLW,CÔNG TY CỔ PHẦN CẤP NƯỚC CHỢ LỚN,HSX,HOSE,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
CLX,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ ĐẦU TƯ CHỢ LỚN,UPCOM,UPCOM,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN THỰC PHẨM, TẠP HÓA VÀ CÁC SẢN PHẨM CÓ LIÊN QUAN"
CMC,CÔNG TY CỔ PHẦN ĐẦU TƯ CMC,HNX,HNX,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN MÁY MÓC, THIẾT BỊ VÀ VẬT TƯ"
CMD,CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT THÀNH PHỐ HỒ CHÍ MINH,UPCOM,UPCOM,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN GỖ XẺ VÀ VẬT LIỆU XÂY DỰNG KHÁC
CMF,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
CMG,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ CMC,HSX,HOSE,NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ CÁC DỊCH VỤ THÔNG TIN KHÁC/ CÁC DỊCH VỤ THÔNG TIN KHÁC
CMI,CÔNG TY CỔ PHẦN CMISTONE VIỆT NAM,UPCOM,UPCOM,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC QUẶNG KIM LOẠI
CMK,CÔNG TY CỔ PHẦN CƠ KHÍ MẠO KHÊ - VINACOMIN,UPCOM,UPCOM,"NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN MÁY MÓC, THIẾT BỊ VÀ VẬT TƯ"
CMN,CÔNG TY CỔ PHẦN LƯƠNG THỰC THỰC PHẨM COLUSA-MILIKET,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
CMP,CÔNG TY CỔ PHẦN CẢNG CHÂN MÂY,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG THỦY
CMS,CÔNG TY CỔ PHẦN TẬP ĐOÀN CMH VIỆT NAM,HNX,HNX,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG HỆ THỐNG TIỆN ÍCH
CMT,CÔNG TY CỔ PHẦN CÔNG NGHỆ MẠNG VÀ TRUYỀN THÔNG,UPCOM,UPCOM,NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ VIỄN THÔNG/ CÁC LOẠI HÌNH VIỄN THÔNG KHÁC
CMV,CÔNG TY CỔ PHẦN THƯƠNG NGHIỆP CÀ MAU,HSX,HOSE,NGÀNH: BÁN LẺ/ CỦA HÀNG HÀNG HÓA TỔNG HỢP/ CỬA HÀNG TỔNG HỢP
CMW,CÔNG TY CỔ PHẦN CẤP NƯỚC CÀ MAU,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
CMX,CÔNG TY CP CAMIMEX GROUP,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SƠ CHẾ VÀ ĐÓNG GÓI THỦY SẢN
CNA,CÔNG TY TNHH MTV ĐẦU TƯ PHÁT TRIỂN CHÈ NGHỆ AN (TÊN DOANH NGHIỆP DỰ KIẾN SAU KHI CỔ PHẦN HÓA: CÔNG TY CỔ PHẦN TỔNG CÔNG TY CHÈ NGHỆ AN),UPCOM,UPCOM,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ TRỒNG TRỌT/ TRỒNG TRỌT CÁC LOẠI CÂY KHÁC
CNC,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO TRAPHACO,UPCOM,UPCOM,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN CÁC MẶT HÀNG TIÊU DÙNG KHÁC
CNG,CÔNG TY CỔ PHẦN CNG VIỆT NAM,HSX,HOSE,NGÀNH: TIỆN ÍCH/ PHÂN PHỐI KHÍ ĐỐT THIÊN NHIÊN/ PHÂN PHỐI KHÍ ĐỐT THIÊN NHIÊN
CNH,CÔNG TY CỔ PHẦN CẢNG NHA TRANG,UPCOM,OTC,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HOẠT ĐỘNG HỖ TRỢ VẬN TẢI ĐƯỜNG THỦY
CNN,"CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ, THIẾT BỊ VÀ KIỂM ĐỊNH XÂY DỰNG - CONINCO",UPCOM,UPCOM,"NGÀNH: DỊCH VỤ CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ/ KIẾN TRÚC, TƯ VẤN XÂY DỰNG VÀ DỊCH VỤ LIÊN QUAN/ DỊCH VỤ TƯ VẤN XÂY DỰNG"
CNS,TỔNG CÔNG TY CÔNG NGHIỆP SÀI GÒN - TNHH MỘT THÀNH VIÊN,OTC,,0
CNT,CÔNG TY CỔ PHẦN TẬP ĐOÀN CNT,UPCOM,UPCOM,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN CÁC MẶT HÀNG TIÊU DÙNG KHÁC
CNX,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TƯ VẤN CIC,,,0
COM,CÔNG TY CỔ PHẦN VẬT TƯ - XĂNG DẦU,HSX,HOSE,NGÀNH: BÁN LẺ/ TRẠM XĂNG/ TRẠM XĂNG CÓ CỬA HÀNG TIỆN LỢI
CPA,CÔNG TY CỔ PHẦN CÀ PHÊ PHƯỚC AN,UPCOM,UPCOM,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ TRỒNG TRỌT/ TRỒNG TRỌT CÁC LOẠI CÂY KHÁC
CPC,CÔNG TY CỔ PHẦN THUỐC SÁT TRÙNG CẦN THƠ,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC TRỪ SÂU, PHÂN BÓN VÀ CÁC LOẠI HÓA CHẤT NÔNG NGHIỆP "
CPH,CÔNG TY CỔ PHẦN PHỤC VỤ MAI TÁNG HẢI PHÒNG,UPCOM,UPCOM,NGÀNH: DỊCH VỤ KHÁC (NGOẠI TRỪ HÀNH CHÍNH CÔNG)/ DỊCH VỤ CHĂM SÓC THÂN THỂ VÀ GIẶT ỦI/ DỊCH VỤ CHĂM SÓC NGƯỜI CHẾT
CPI,CÔNG TY CỔ PHẦN ĐẦU TƯ CẢNG CÁI LÂN,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ SẮP XẾP VẬN TẢI HÀNG HÓA
CPT,CTCP XÂY LẮP BƯU ĐIỆN,,OTC,0
CPW,CÔNG TY CỔ PHẦN CÔNG TRÌNH GIAO THÔNG CÔNG CHÁNH,UPCOM,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG HỆ THỐNG TIỆN ÍCH
CQN,CÔNG TY CỔ PHẦN CẢNG QUẢNG NINH,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ HỖ TRỢ VẬN TẢI/ HỖ TRỢ VẬN TẢI
CQT,CÔNG TY CỔ PHẦN XI MĂNG QUÁN TRIỀU - VVMI,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT XI MĂNG VÀ CÁC SẢN PHẨM BÊ TÔNG
CRC,CÔNG TY CỔ PHẦN CREATE CAPITAL VIỆT NAM,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT CÁC SẢN PHẨM TỪ ĐẤT SÉT VÀ VẬT LIỆU CHỊU NHIỆT
CRE,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THẾ KỶ,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ BẤT ĐỘNG SẢN / ĐẠI LÝ VÀ MÔI GIỚI BẤT ĐỘNG SẢN
CRV,CÔNG TY CỔ PHẦN TẬP ĐOÀN BẤT ĐỘNG SẢN CRV,,,0
CSC,CÔNG TY CỔ PHẦN TẬP ĐOÀN COTANA,HNX,HNX,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG CÔNG TRÌNH KHÁC"
CSG,CÔNG TY CỔ PHẦN CÁP SÀI GÒN,HSX,OTC,NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ VIỄN THÔNG/ CÁC LOẠI HÌNH VIỄN THÔNG KHÁC
CSM,CÔNG TY CP CÔNG NGHIỆP CAO SU MIỀN NAM,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM CAO SU
CST,CÔNG TY CỔ PHẦN THAN CAO SƠN - TKV,UPCOM,UPCOM,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC THAN
CSV,CÔNG TY CỔ PHẦN HÓA CHẤT CƠ BẢN MIỀN NAM,HSX,HOSE,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT HÓA CHẤT CƠ BẢN"
CT3,CTCP ĐẦU TƯ VÀ XÂY DỰNG CÔNG TRÌNH 3,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CẦU ĐƯỜNG, ĐƯỜNG CAO TỐC"
CT5,CÔNG TY CỔ PHẦN 319.5,UPCOM,OTC,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
CT6,CÔNG TY CỔ PHẦN CÔNG TRÌNH 6,UPCOM,UPCOM,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CẦU ĐƯỜNG, ĐƯỜNG CAO TỐC"
CTA,CÔNG TY CỔ PHẦN VINAVICO,UPCOM,UPCOM,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC ĐÁ VÀ KHOÁNG SẢN PHI KIM
CTB,CÔNG TY CỔ PHẦN CHẾ TẠO BƠM HẢI DƯƠNG,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT THIẾT BỊ NÔNG NGHIỆP, XÂY DỰNG VÀ KHAI KHOÁNG"
CTC,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀNG KIM TÂY NGUYÊN,HNX,HNX,"NGÀNH: BÁN LẺ/ CỬA HÀNG ĐỒ DÙNG THỂ THAO, ĐỒ CỔ, SÁCH VÀ ÂM NHẠC/ CỬA HÀNG SÁCH, ẤN BẢN VÀ ÂM NHẠC"
CTD,CÔNG TY CỔ PHẦN XÂY DỰNG COTECCONS,HSX,HOSE,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
CTE,CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC,,OTC,0
CTF,CÔNG TY CỔ PHẦN CITY AUTO,HSX,HOSE,"NGÀNH: BÁN LẺ/ BÁN LẺ XE HƠI VÀ PHỤ TÙNG/ CỬA HÀNG PHỤ TÙNG XE HƠI, PHỤ KIỆN VÀ SĂM LỐP"
CTI,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CƯỜNG THUẬN IDICO,HSX,HOSE,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CẦU ĐƯỜNG, ĐƯỜNG CAO TỐC"
CTM,"CÔNG TY CỔ PHẦN ĐẦU TƯ, XÂY DỰNG VÀ KHAI THÁC MỎ VINAVICO",HNX,OTC,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG KHÁC
CTN,CÔNG TY CỔ PHẦN XÂY DỰNG CÔNG TRÌNH NGẦM,UPCOM,UPCOM,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG HỆ THỐNG TIỆN ÍCH
CTP,CÔNG TY CỔ PHẦN MINH KHANG CAPITAL TRADING PUBLIC,HNX,HNX,NGÀNH: SẢN XUẤT NÔNG NGHIỆP/ TRỒNG TRỌT/ TRỒNG TRỌT CÂY CÓ HẠT VÀ CÁC LOẠI TRÁI CÂY
CTR,TỔNG CÔNG TY CỔ PHẦN CÔNG TRÌNH VIETTEL,HSX,HOSE,NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ VIỄN THÔNG/ CÁC LOẠI HÌNH VIỄN THÔNG KHÁC
CTT,CÔNG TY CỔ PHẦN CHẾ TẠO MÁY VINACOMIN,HNX,HNX,"NGÀNH: SẢN XUẤT/ SẢN XUẤT THIẾT BỊ, MÁY MÓC/ SẢN XUẤT THIẾT BỊ, MÁY MÓC CÔNG NGHIỆP"
CTV,CÔNG TY CỔ PHẦN ĐẦU TƯ - SẢN XUẤT VÀ THƯƠNG MẠI VIỆT NAM,HNX,OTC,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG TIÊU DÙNG/ BÁN BUÔN CÁC MẶT HÀNG TIÊU DÙNG KHÁC
CTW,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC CẦN THƠ,UPCOM,UPCOM,"NGÀNH: TIỆN ÍCH/ NƯỚC, CHẤT THẢI VÀ CÁC HỆ THỐNG KHÁC/ HỆ THỐNG THỦY LỢI VÀ CUNG CẤP NƯỚC"
CTX,TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI VIỆT NAM,HNX,HNX,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
CVC,CÔNG TY CỔ PHẦN CƠ ĐIỆN VẬT TƯ,UPCOM,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT TRANG THIẾT BỊ, DỤNG CỤ ĐIỆN/ SẢN XUẤT CÁC THIẾT BỊ ĐIỆN VÀ DỤNG CỤ KHÁC"
CVH,"CÔNG TY CỔ PHẦN CÔNG VIÊN, CÂY XANH HẢI PHÒNG",UPCOM,OTC,"NGÀNH: DỊCH VỤ CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ/ KIẾN TRÚC, TƯ VẤN XÂY DỰNG VÀ DỊCH VỤ LIÊN QUAN/ DỊCH VỤ KIẾN TRÚC CẢNH QUAN"
CVN,CÔNG TY CỔ PHẦN VINAM,HNX,HNX,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN KIM LOẠI VÀ KHOÁNG SẢN (TRỪ DẦU KHÍ)
CVP,CÔNG TY CỔ PHẦN CẢNG CỬA VIỆT,UPCOM,UPCOM,NGÀNH: VẬN TẢI VÀ KHO BÃI/ KHO BÃI/ LƯU TRỮ VÀ KHO BÃI
CVT,CÔNG TY CỔ PHẦN CMC,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT CÁC SẢN PHẨM TỪ ĐẤT SÉT VÀ VẬT LIỆU CHỊU NHIỆT
CX8,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY LẮP CONSTREXIM SỐ 8,HNX,HNX,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG NHÀ CỬA, CAO ỐC/ XÂY DỰNG NHÀ Ở, KHU DÂN CƯ, CAO ỐC"
CXC,CÔNG TY CỔ PHẦN CẦU XÂY,,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM ĐIỆN TỬ, VI TÍNH/ SẢN XUẤT CÁC SẢN PHẨM ĐIỆN TỬ, VI TÍNH"
CXH,CÔNG TY CỔ PHẦN XE KHÁCH HÀ NỘI,UPCOM,OTC,NGÀNH: VẬN TẢI VÀ KHO BÃI/ VẬN TẢI ĐƯỜNG BỘ/ VẬN TẢI ĐƯỜNG BỘ 
CYC,CTCP GẠCH MEN CHANG YIH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT CÁC SẢN PHẨM TỪ ĐẤT SÉT VÀ VẬT LIỆU CHỊU NHIỆT
CZC,CÔNG TY CỔ PHẦN THAN MIỀN TRUNG,UPCOM,OTC,NGÀNH: KHAI KHOÁNG/ KHAI KHOÁNG (NGOẠI TRỪ DẦU MỎ VÀ KHÍ ĐỐT)/ KHAI THÁC THAN
D11,CÔNG TY CỔ PHẦN ĐỊA ỐC 11,HNX,HNX,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
D26,CTCP QUẢN LÝ VÀ XÂY DỰNG ĐƯỜNG BỘ 26,UPCOM,OTC,"NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ XÂY DỰNG CÔNG NGHIỆP NẶNG VÀ DÂN DỤNG/ XÂY DỰNG CẦU ĐƯỜNG, ĐƯỜNG CAO TỐC"
D2D,CÔNG TY CP PHÁT TRIỂN ĐÔ THỊ CÔNG NGHIỆP SỐ 2,HSX,HOSE,NGÀNH: XÂY DỰNG VÀ BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN/ PHÁT TRIỂN BẤT ĐỘNG SẢN
DAC,CÔNG TY CỔ PHẦN 382 ĐÔNG ANH,UPCOM,UPCOM,NGÀNH: SẢN XUẤT/ SẢN XUẤT SẢN PHẨM KHOÁNG CHẤT PHI KIM/ SẢN XUẤT CÁC SẢN PHẨM TỪ ĐẤT SÉT VÀ VẬT LIỆU CHỊU NHIỆT
DAD,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN GIÁO DỤC ĐÀ NẴNG,HNX,HNX,"NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ CÔNG NGHIỆP XUẤT BẢN - NGOẠI TRỪ INTERNET/ ĐƠN VỊ XUẤT BẢN BÁO, ẤN PHẨM, SÁCH VÀ DANH MỤC"
DAE,CÔNG TY CỔ PHẦN SÁCH GIÁO DỤC TẠI TP. ĐÀ NẴNG,HNX,HNX,"NGÀNH: CÔNG NGHỆ VÀ THÔNG TIN/ CÔNG NGHIỆP XUẤT BẢN - NGOẠI TRỪ INTERNET/ ĐƠN VỊ XUẤT BẢN BÁO, ẤN PHẨM, SÁCH VÀ DANH MỤC"
DAG,CÔNG TY CỔ PHẦN TẬP ĐOÀN NHỰA ĐÔNG Á,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT CÁC SẢN PHẨM NHỰA VÀ CAO SU/ SẢN XUẤT CÁC SẢN PHẨM NHỰA
DAH,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHÁCH SẠN ĐÔNG Á,HSX,HOSE,NGÀNH: DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG/ KHÁCH SẠN VÀ PHÒNG Ở/ CHỖ Ở CHO KHÁCH DU LỊCH
DAN,CÔNG TY CỔ PHẦN DƯỢC DANAPHA,UPCOM,UPCOM,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
DAP,CÔNG TY CỔ PHẦN ĐÔNG Á,UPCOM,OTC,"NGÀNH: SẢN XUẤT/ SẢN XUẤT GIẤY/ NHÀ MÁY SẢN XUẤT BỘT GIẤY, GIẤY VÀ GIẤY BÌA"
DAR,CÔNG TY CỔ PHẦN XE LỬA DĨ AN,UPCOM,UPCOM,"NGÀNH: DỊCH VỤ CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ/ KIẾN TRÚC, TƯ VẤN XÂY DỰNG VÀ DỊCH VỤ LIÊN QUAN/ DỊCH VỤ KIẾN TRÚC"
DAS,CÔNG TY CỔ PHẦN MÁY - THIẾT BỊ DẦU KHÍ ĐÀ NẴNG,UPCOM,UPCOM,NGÀNH: BÁN BUÔN/ BÁN BUÔN HÀNG LÂU BỀN/ BÁN BUÔN XE CƠ GIỚI VÀ PHỤ TÙNG XE CƠ GIỚI
DAT,CÔNG TY CỔ PHẦN ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ SẢN XUẤT CÁC LOẠI THỰC PHẨM KHÁC
DBC,CÔNG TY CỔ PHẦN TẬP ĐOÀN DABACO VIỆT NAM,HSX,HOSE,NGÀNH: SẢN XUẤT/ SẢN XUẤT THỰC PHẨM/ GIẾT MỔ VÀ CHẾ BIẾN THỊT ĐỘNG VẬT
DBD,CÔNG TY CỔ PHẦN DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH (BIDIPHAR),HSX,HOSE,"NGÀNH: SẢN XUẤT/ SẢN XUẤT HÓA CHẤT, DƯỢC PHẨM/ SẢN XUẤT THUỐC VÀ DƯỢC PHẨM"
